,index,cluster,count
,,first,first
0,-,Dúvida,733
337,W3,Dúvida,417
194,N3,Dúvida,175
118,DUVIDA,Dúvida,112
74,COMO,Dúvida,98
36,B3,Dúvida,85
146,FATURA,Dúvida,67
340,WILL,Dúvida,53
61,CARTAO,Dúvida,52
119,DUVIDAS,Dúvida,39
78,COMPRA,Dúvida,36
113,DO,Dúvida,34
82,CONTA,Dúvida,33
229,PARCELAMENTO,Dúvida,29
241,PIX,Dúvida,29
128,ENCARGOS,Dúvida,27
222,PAGAMENTO,Dúvida,26
47,BOLETO,Dúvida,25
205,NO,Dúvida,24
223,PAGAR,Dúvida,24
176,LIMITE,Dúvida,24
342,|,Dúvida,23
88,CREDITO,Dúvida,22
333,VIA,Dúvida,21
178,LOJA,Dúvida,21
148,FAZER,Dúvida,21
131,ENTENDI,Dúvida,21
25,APP,Dúvida,20
262,QUAIS,Dúvida,20
75,COMPENSACAO,Dúvida,19
247,PRAZO,Dúvida,19
253,PROBLEMA,Dúvida,18
124,EM,Dúvida,18
152,FGTS,Dúvida,18
316,TARIFAS,Dúvida,17
267,QUERO,Dúvida,17
73,COM,Dúvida,17
24,APOS,Dúvida,16
209,O,Dúvida,16
329,VALOR,Dúvida,15
323,TITULO,Dúvida,15
15,ALTERAR,Dúvida,14
175,INVESTIMENTO,Dúvida,14
28,AS,Dúvida,14
140,ESTORNO,Dúvida,13
271,RECARGA,Dúvida,13
331,VENCIMENTO,Dúvida,12
155,FINANCEIRA,Dúvida,12
334,VIRTUAL,Dúvida,12
261,Q3,Dúvida,12
264,QUANDO,Dúvida,11
295,SALDO,Dúvida,11
221,PAG,Dúvida,11
1,2,Dúvida,11
58,CANCELAMENTO,Dúvida,10
308,SOBRE,Dúvida,10
99,DEBITO,Dúvida,10
321,TERA,Dúvida,9
211,ONLINE,Dúvida,9
110,DINHEIRO,Dúvida,9
133,ENTREGA,Dúvida,9
137,ERRO,Dúvida,9
107,DIA,Dúvida,9
147,FATURAS,Dúvida,9
51,CADASTRO,Dúvida,9
263,QUAL,Dúvida,8
31,ATRASO,Dúvida,8
19,ANTECIPACAO,Dúvida,8
20,ANTECIPAR,Dúvida,8
104,DESBLOQUEIO,Dúvida,8
215,OU,Dúvida,8
310,SOLICITACAO,Dúvida,8
301,SEM,Dúvida,8
59,CANCELAR,Dúvida,8
165,GERAR,Dúvida,8
66,CELULAR,Dúvida,8
287,RENDIMENTO,Dúvida,7
163,FUTURAS,Dúvida,7
44,BLOQUEIO,Dúvida,7
317,TED,Dúvida,7
54,CAMPANHA,Dúvida,7
303,SEPARAR,Dúvida,7
70,CLIENTE,Dúvida,7
6,ACESSAR,Dúvida,7
302,SENHA,Dúvida,7
22,AO,Problema,7
174,INTERACAO,Dúvida,6
29,ATENDIMENTO,Dúvida,6
160,FRAUDE,Problema,6
327,UM,Dúvida,6
276,RECEBIMENTO,Dúvida,6
14,ALTERACAO,Solicitação,6
248,PRE,Dúvida,6
232,PARCIAL,Dúvida,6
230,PARCELAR,Dúvida,6
7,ACESSO,Problema,6
116,DUPLICADA,Problema,6
191,MINIMO,Dúvida,6
297,SAQUE,Dúvida,6
100,DECLARACAO,Solicitação,6
56,CANCELADA,Dúvida,6
65,CDB,Dúvida,6
96,DATA,Dúvida,6
69,CHAVE,Dúvida,6
90,CUPOM,Dúvida,6
240,PESSOAL,Dúvida,5
294,SACAR,Dúvida,5
235,PELO,Dúvida,5
187,MEU,Dúvida,5
142,EXTRATO,Dúvida,5
227,PARCELA,Dúvida,5
217,OUTRAS,Dúvida,5
76,COMPENSADO,Problema,5
48,BRASIL,Dúvida,5
127,EMPRESTIMO,Dúvida,5
159,FORMAS,Dúvida,5
64,CASHBACK,Dúvida,5
203,NEGOCIACAO,Dúvida,5
195,NA,Dúvida,5
335,VISUALIZAR,Dúvida,5
274,RECEBEU,Problema,5
283,REENVIO,Dúvida,5
213,OPERACAO,Problema,4
149,FECHAMENTO,Dúvida,4
260,PURA,Dúvida,4
298,SEGUNDA,Problema,4
94,DADOS,Dúvida,4
305,SIMPLES,Dúvida,4
157,FIZ,Dúvida,4
325,TOTAL,Dúvida,4
5,ACEITO,Dúvida,4
265,QUE,Dúvida,4
2,2_VIA,Solicitação,4
207,NOTIFICACAO,Reclamação,4
18,ANALISE,Problema,4
313,SOLICITAR,Solicitação,4
315,STATUS,Dúvida,4
50,CADASTRAR,Dúvida,4
83,CONTACTLESS,Dúvida,4
80,COMUNICACAO,Dúvida,4
244,POR,Dúvida,4
3,A,Dúvida,4
33,AUMENTO,Dúvida,4
87,CPF,Problema,4
290,RESULTADO,Problema,4
318,TELEFONE,Solicitação,4
268,QUITACAO,Dúvida,3
245,PORTABILIDADE,Dúvida,3
208,NOVO,Problema,3
204,NEGOCIADO,Solicitação,3
198,NAO_RECONHECE_SAQUE,Problema,3
201,NEGATIVADO,Dúvida,3
210,OCORRENCIA,Problema,3
269,RASTREIO,Dúvida,3
193,MUDANCA,Dúvida,3
341,_,Solicitação,3
192,MOTIVO,Dúvida,3
312,SOLICITADA,Solicitação,3
277,RECLAMACAO,Reclamação,3
309,SOCIAL,Dúvida,3
250,PREV,Problema,3
296,SAMSUNGPAY,Dúvida,3
258,PROPOSTA,Dúvida,3
339,WHATSAPP,Dúvida,3
289,RESGATE,Dúvida,3
284,REGISTRADO,Dúvida,3
233,PEC,Dúvida,3
216,OUTRA,Dúvida,3
259,PROVISORIO,Dúvida,3
255,PROCESSAMENTO,Dúvida,3
332,VEZES,Dúvida,3
252,PRIMEIRO,Dúvida,3
242,PLASTICO,Dúvida,3
291,RETIRADA,Dúvida,3
212,OPEN,Dúvida,3
249,PRESENCIAL,Dúvida,3
184,MELHOR,Dúvida,3
68,CHAT,Dúvida,3
41,BATE,Dúvida,3
144,FALHA,Dúvida,3
77,COMPLIANCE,Problema,3
71,COBRANCA,Dúvida,3
138,ERROS,Problema,3
81,CONCILIACAO,Dúvida,3
136,ENVIO,Dúvida,3
86,CORREIOS,Dúvida,3
134,ENTREGUE,Problema,3
156,FISICO,Dúvida,3
158,FORA,Dúvida,3
129,ENCONTRADO,Problema,3
23,APLICACAO,Dúvida,3
125,EMAIL,Dúvida,3
21,ANTES,Dúvida,3
117,DUPLICADO,Problema,3
181,MARCA,Dúvida,3
102,DEPOSITO,Dúvida,3
109,DIGITAL,Dúvida,3
34,AUTOMATICO,Dúvida,3
12,ADQUIRIR,Dúvida,3
112,DISPOSITIVO,Problema,3
32,ATUALIZACAO,Problema,3
108,DIFERENTE,Problema,3
106,DEVIDO,Dúvida,3
272,RECEBE,Reclamação,2
84,CONTRATAR,Dúvida,2
273,RECEBEREI,Dúvida,2
292,REVERSAO,Dúvida,2
79,COMPRAS,Dúvida,2
85,CONTRATO,Dúvida,2
89,CRIAR,Dúvida,2
293,ROUBO,Solicitação,2
288,RESGATAR,Dúvida,2
97,DDC,Solicitação,2
91,CUSTODIA,Reclamação,2
286,RELATO,Reclamação,2
275,RECEBI,Problema,2
285,RELACAO,Dúvida,2
101,DEPOIS,Dúvida,2
299,SEGURANCA,Dúvida,2
95,DANIFICADA,Reclamação,2
282,REDUCAO,Solicitação,2
281,REDE,Dúvida,2
280,RECONHECO,Reclamação,2
279,RECONHECIDA,Problema,2
278,RECONHECE,Dúvida,2
92,CVC,Problema,2
182,MARKETING,Dúvida,2
300,SELFIE,Problema,2
40,BANKING,Dúvida,2
45,BLOQUEIO_ERRO_DE_SENHA,Problema,2
324,TOKEN,Dúvida,2
43,BLOQUEAR,Dúvida,2
326,TRANSACAO,Reclamação,2
42,BLACK,Dúvida,2
328,VALIDACAO,Dúvida,2
330,VAZAMENTO,Problema,2
39,BANCO,Dúvida,2
72,CODIGO,Dúvida,2
38,BANCARIA,Dúvida,2
37,BACEN,Problema,2
35,AUTORIZADA,Dúvida,2
336,VOLTA,Dúvida,2
338,WEB,Problema,2
30,ATRASADA,Reclamação,2
27,APROVACAO,Reclamação,2
322,TITULARIDADE,Solicitação,2
46,BNPL,Dúvida,2
320,TEMPORARIO,Dúvida,2
319,TEM,Problema,2
270,RASTREIO_SEM_ATUALIZACAO,Reclamação,2
304,SER,Dúvida,2
67,CHARGEBACK,Problema,2
306,SITE,Problema,2
307,SMS,Problema,2
63,CARTAO_ROUBADO,Problema,2
62,CARTAO_PERDIDO,Problema,2
60,CARD,Dúvida,2
311,SOLICITACOES,Solicitação,2
57,CANCELADO,Reclamação,2
55,CANAIS,Dúvida,2
314,SOMA,Dúvida,2
53,CAIXA,Dúvida,2
52,CAIU,Dúvida,2
49,BUG,Problema,2
103,DESBLOQUEAR,Solicitação,2
17,AMORTIZACAO,Dúvida,2
105,DESTRUIDO,Solicitação,2
266,QUER,Reclamação,2
169,INDEVIDA,Reclamação,2
9,ACOMPANHO,Dúvida,2
206,NOS,Dúvida,2
168,HISTORICO,Reclamação,2
167,GOOGLEPAY,Dúvida,2
166,GIFT,Dúvida,2
164,GAMIFICACAO,Dúvida,2
162,FUNCIONALIDADES,Problema,2
161,FUNCIONA,Problema,2
214,OS,Dúvida,2
154,FINALIZAR,Dúvida,2
153,FIM,Dúvida,2
218,OUTRO,Dúvida,2
219,OUTROS,Solicitação,2
220,OVERLIMIT,Dúvida,2
170,INFRACAO,Reclamação,2
202,NEGATIVO,Dúvida,2
172,INSTABILIDADE,Problema,2
180,MAQUININHA,Dúvida,2
26,APPLEPAY,Dúvida,2
185,MELHOR_DIA_DE_COMPRA,Dúvida,2
186,MENOR,Dúvida,2
188,MIGRACAO,Dúvida,2
189,MIGRADO,Problema,2
190,MINHA,Dúvida,2
179,LOTERICA,Dúvida,2
200,NEGATIVA,Dúvida,2
177,LOGISTICA,Dúvida,2
11,ADICIONAL,Solicitação,2
10,ACONTECE,Dúvida,2
197,NAO_RECONHECE_COMPRA,Problema,2
173,INTEGRAL,Dúvida,2
199,NASCIMENTO,Problema,2
151,FERIADO,Dúvida,2
8,ACOMPANHAMENTO,Reclamação,2
150,FEIRAO,Solicitação,2
121,E-MAIL,Reclamação,2
130,ENDERECO,Problema,2
126,EMERGENCIAL,Dúvida,2
251,PREVENCAO,Problema,2
123,ELETRONICO,Dúvida,2
122,EFETIVADO,Reclamação,2
254,PROBLEMAS,Dúvida,2
256,PRODUCAO,Dúvida,2
132,ENTRADA,Dúvida,2
257,PROGRAMA,Dúvida,2
16,AMARELO,Solicitação,2
115,DUAL,Dúvida,2
114,DOCUMENTO,Solicitação,2
183,MAS,Reclamação,2
111,DISPONIVEL,Problema,2
246,POSITIVA,Dúvida,2
243,PONTOS,Dúvida,2
224,PAGUEI,Dúvida,2
141,EXCLUIR,Dúvida,2
13,AGUARDANDO,Dúvida,2
226,PARCEIRO,Dúvida,2
145,FALSO,Reclamação,2
228,PARCELADA,Dúvida,2
143,FACIAL,Solicitação,2
231,PARCERIA,Dúvida,2
139,ESTABELECIMENTO,Reclamação,2
135,ENVIAR,Problema,2
234,PEDIDO,Dúvida,2
236,PERDA,Solicitação,2
237,PERDIDO,Solicitação,2
238,PERFIL,Reclamação,2
239,PESSOA,Dúvida,2
4,ABAIXO,Dúvida,2
171,INSATISFACAO,Problema,2
